start,end,outdated,outdated,outdated,team_code,drain_number,location,lat,long,alt,accuracy,date_time,record_consent,use_consent,outdated,name_occupation,lived_years,flood_history,outdated,outdated,outdated,flood_height,flood_level_pic,kobo_link,last_flooded,flood_clear,desiliting,desilting_other,last_cleaned,last_cleaned_other,maintenance,activities,public_health,specify,other _info,,audio,audio,audio,,,,,,,,,,,index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct audit",A4,,,,,,,,,,,,,Yes,1,0,0,Does not flood,,,,,Do not know,,2-6 months back,,GBA (Previously known as BBMP) Ward Office,,,,,OK,,,,660531359,fd03385f-b750-4462-94f6-c9a8327856c9,31-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:fd03385f-b750-4462-94f6-c9a8327856c9,31,K200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct audit",A4,,,,,,,,,,,,,Yes,1,0,0,More than 10 inches,,,,,Once a year,,2-6 months back,,GBA (Previously known as BBMP) Ward Office,,,,,OK,,,,660597771,7cec78be-2be6-425c-8adc-4f6d43ede726,31-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:7cec78be-2be6-425c-8adc-4f6d43ede726,32,K200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct audit",A4,,,,,,,,,,,,,Yes,1,0,0,Does not flood,,,,,Do not know,,2-6 months back,,GBA (Previously known as BBMP) Ward Office,,,,,OK,,,,660597935,fcd1a9ca-059f-4682-b7aa-73302e90ddd7,31-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:fcd1a9ca-059f-4682-b7aa-73302e90ddd7,33,K200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct audit",A4,,,,,,,,,,,,,Yes,1,0,0,2-5 inches,,,,,Once a year,,2-6 months back,,GBA (Previously known as BBMP) Ward Office,,,,,OK,,,,660597981,3ba97a3e-bdcb-43f0-a863-7e494f08dd1f,31-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:3ba97a3e-bdcb-43f0-a863-7e494f08dd1f,34,K200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct audit",A4,,,,,,,,,,,,,Yes,1,0,0,Does not flood,,,,,Once a year,,2-6 months back,,GBA (Previously known as BBMP) Ward Office,,,,,OK,,,,660598077,9fa45e96-bb1d-4792-bb64-6f6f88f2ddf8,31-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:9fa45e96-bb1d-4792-bb64-6f6f88f2ddf8,35,K200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-02-2026,07-02-2026,,,"Yes, I feel safe to conduct audit",A9,,,,,,,,,,,,,Cannot find info.,0,0,1,Cannot find info. ,,,,,Cannot find info.,,Cannot find info.,,Do not know,,,,,OK,,,,665837451,d83a6023-e641-465f-9752-dd4f49a6a3fd,07-02-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:d83a6023-e641-465f-9752-dd4f49a6a3fd,36,V200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-02-2026,07-02-2026,,,"Yes, I feel safe to conduct audit",A10,,,,,,,,,,,,,Yes,1,0,0,6-10 inches,,,,,Do not know,,Cannot find info.,,GBA (Previously known as BBMP) Ward Office,,,,,OK,,,,665842416,0eddd573-92b0-4a51-ad85-59a86665e6a9,07-02-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:0eddd573-92b0-4a51-ad85-59a86665e6a9,37,V200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-02-2026,07-02-2026,,,"Yes, I feel safe to conduct audit",A9,,,,,,,,,,,,,No,0,1,0,Does not flood,,,,,Cannot find info.,,Cannot find info.,,GBA (Previously known as BBMP) Ward Office,,,,,OK,,,,665846912,5e86419e-e376-42c6-8bb8-ab4b08a81875,07-02-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:5e86419e-e376-42c6-8bb8-ab4b08a81875,38,V200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-02-2026,07-02-2026,,,"Yes, I feel safe to conduct audit",A8,,,,,,,,,,,,,No,0,1,0,Does not flood,,,,,Do not know,,Cannot find info.,,Do not know,,,,,OK,,,,665847010,e886e8f2-46bf-4fd1-acef-5a0d61919ed0,07-02-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:e886e8f2-46bf-4fd1-acef-5a0d61919ed0,39,V200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-02-2026,07-02-2026,,,"Yes, I feel safe to conduct audit",A8,,,,,,,,,,,,,No,0,1,0,Does not flood,,,,,Once a year,,2-6 months back,,GBA (Previously known as BBMP) Ward Office,,,,,OK,,,,665847012,e33969e1-4d59-4758-9313-df1955804f35,07-02-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:e33969e1-4d59-4758-9313-df1955804f35,40,V200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-02-2026,07-02-2026,,,"Yes, I feel safe to conduct audit",A8,,,,,,,,,,,,,No,0,1,0,Does not flood,,,,,Do not know,,Cannot find info.,,No one,,,,,OK,,,,665847017,e6e81cd6-d1aa-45b0-811a-811ecb5e767b,07-02-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:e6e81cd6-d1aa-45b0-811a-811ecb5e767b,41,V200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-02-2026,07-02-2026,,,"Yes, I feel safe to conduct audit",A9,,,,,,,,,,,,,Yes,1,0,0,Does not flood,,,,,Do not know,,More than 6 months,,GBA SWD Dept. ,,,,,OK,,,,665850156,2245f6d9-df89-45ab-96fb-0178a83c44fd,07-02-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:2245f6d9-df89-45ab-96fb-0178a83c44fd,42,V200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-02-2026,07-02-2026,,,"Yes, I feel safe to conduct audit",A11,,,,,,,,,,,,,Cannot find info.,0,0,1,Cannot find info. ,,,,,Once a year,,More than 6 months,,GBA SWD Dept. ,,,,,OK,,,,665851300,67360ead-2cd8-406d-a9c5-672454f0fa79,07-02-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:67360ead-2cd8-406d-a9c5-672454f0fa79,43,V200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-02-2026,21-02-2026,,,"Yes, I feel safe to conduct audit",A19,,,,,,,,,,,,,No,0,1,0,,,,,,Every 6 months,,Last month,,Do not know,,,,,OK,,,,676772617,c75102c6-4dd8-4b6f-8c3f-50c9823ec347,21-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:c75102c6-4dd8-4b6f-8c3f-50c9823ec347,44,H300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-02-2026,21-02-2026,,,"Yes, I feel safe to conduct audit",A19,,,,,,,,,,,,,Yes,1,0,0,2-5 inches,,,,,Once a year,,Last month,,Do not know,,,,,OK,,,,676772623,0beddbb7-dedd-4368-9378-2d8b2aec6d77,21-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:0beddbb7-dedd-4368-9378-2d8b2aec6d77,45,H300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-02-2026,21-02-2026,,,"Yes, I feel safe to conduct audit",A19,,,,,,,,,,,,,No,0,1,0,Does not flood,,,,,Every 6 months,,Last month,,GBA (Previously known as BBMP) Ward Office,,,,,OK,,,,676772628,fee308de-b72f-42b7-a1df-a555350c3cef,21-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:fee308de-b72f-42b7-a1df-a555350c3cef,46,H300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-02-2026,21-02-2026,,,"Yes, I feel safe to conduct audit",A19,,,,,,,,,,,,,No,0,1,0,Does not flood,,,,,Every 6 months,,2-6 months back,,Do not know,,,,,OK,,,,676772849,f06c0df7-8239-4142-a274-ad7e6270b2b0,21-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:f06c0df7-8239-4142-a274-ad7e6270b2b0,47,H300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-02-2026,21-02-2026,,,"Yes, I feel safe to conduct audit",A19,,,,,,,,,,,,,Yes,1,0,0,Upto  1 inch,,,,,Every 6 months,,Last month,,GBA (Previously known as BBMP) Ward Office,,,,,OK,,,,676772856,98ddf3ea-0be8-4cfd-8593-dc4bd0259368,21-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:98ddf3ea-0be8-4cfd-8593-dc4bd0259368,48,H300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-02-2026,21-02-2026,,,"Yes, I feel safe to conduct audit",A19,,,,,,,,,,,,,No,0,1,0,Does not flood,,,,,Every 6 months,,Last month,,GBA (Previously known as BBMP) Ward Office,,,,,OK,,,,676772859,decad148-2777-4882-a759-9491476ffb7d,21-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:decad148-2777-4882-a759-9491476ffb7d,49,H300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-02-2026,19-02-2026,,,"Yes, I feel safe to conduct audit",A12,,,,,,,,,,,,,Cannot find info.,0,0,1,Cannot find info. ,,,,,Cannot find info.,,Cannot find info.,,Do not know,,,,,OK,,,,677177114,4f942474-4a5b-485f-8e8c-334d1e34a6d5,21-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:4f942474-4a5b-485f-8e8c-334d1e34a6d5,50,C100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-02-2026,19-02-2026,,,"Yes, I feel safe to conduct audit",A12,,,,,,,,,,,,,No,0,1,0,Does not flood,,,,,Cannot find info.,,Cannot find info.,,Do not know,,,,,OK,,,,677177117,aacf9bf7-16ce-4fea-979c-c793d5d39ffa,21-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:aacf9bf7-16ce-4fea-979c-c793d5d39ffa,51,C100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-02-2026,19-02-2026,,,"Yes, I feel safe to conduct audit",A12,,,,,,,,,,,,,No,0,1,0,More than 10 inches,,,,,Do not know,,More than 6 months,,No one,,,,,OK,,,,677177120,00db487a-8035-4937-9a6c-0ba98026fa54,21-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:00db487a-8035-4937-9a6c-0ba98026fa54,52,C100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
