_index,start,end,form1,section1,safety,team_code,rhs_lhs,location,lat,long,alt,precision,date_time,section2,wall_condition,wall_height,fence,wall_material,wall_pic,outdated,street_pic,field_23,section3,bridge_type,bridge_condition,bridge_walkable,bridge_pic,outdated_1,piers_condition,piers_num,piers_pic,section4,field_34,elec_condition,elec_pic,field_37,cables_condition,cables_pic,outdated_2,manholes_condition,manholes_pic,outdated_3,outdated_4,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,meta/rootUuid,_drain,_secondarydrain,team_name,corporatio,valley
24,31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct the audit",A6,Left hand side (LHS),12.9154552 77.6421208 810.5 4.945,12.9154552,77.6421208,810.5,4.945,2026/01/31 11:09:00+0530,,Retaining wall intact throughout the stretch,4,There is no fence ,Reinforced Cement Concrete (RCC),1769838169679.jpg,,1769838236017.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,Yes,1769838415293.jpg,,No,,,Cannot see,,,OK,660492136,b2aea53a-effa-4902-b2f0-b3b31728297c,31-01-2026 05:47,yes,,submitted_via_web,,vJPQqaxfJYoZcmbGG5DBqs,,uuid:b2aea53a-effa-4902-b2f0-b3b31728297c,K200,,Mod Foundation,South,Koramangala Challaghatta Valley
25,31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct the audit",A4,Right hand side (RHS),12.9153765 77.643749 811.0 4.169,12.9153765,77.643749,811,4.169,2026/01/31 11:11:00+0530,,Retaining wall intact throughout the stretch,5,"Yes, covered only on sides",Reinforced Cement Concrete (RCC),1769838252322.jpg,,1769838283610.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,Yes,1769838376632.jpg,,No,,,No,,,OK,660499263,2665756c-eb0d-4b48-9cde-028912d0d65b,31-01-2026 06:05,yes,,submitted_via_web,,vJPQqaxfJYoZcmbGG5DBqs,,uuid:2665756c-eb0d-4b48-9cde-028912d0d65b,K200,,Mod Foundation,South,Koramangala Challaghatta Valley
26,31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct the audit",A4,Right hand side (RHS),12.9156787 77.6416106 810.7999877929688 13.7,12.9156787,77.6416106,810.7999878,13.7,2026/01/31 11:28:00+0530,,Broken in some places,4.5,"Yes, covered only on sides",Reinforced Cement Concrete (RCC),1769839268108.jpg,,1769839338617.jpg,,,"Vehicular, I can see vehicles on the bridge",Intact;  path and fence not broken ,Obstructed path (parking),1769839410292.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/660499531/attachments/att37ZPhAwGAYcFGG4LHg5LC/,No,0,1769839447633.jpg,,,No,,,No,,,No,,,OK,660499531,583dcb3a-7c61-4fa2-a3e4-47141406d580,31-01-2026 06:05,yes,,submitted_via_web,,vJPQqaxfJYoZcmbGG5DBqs,,uuid:583dcb3a-7c61-4fa2-a3e4-47141406d580,K200,,Mod Foundation,South,Koramangala Challaghatta Valley
27,31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct the audit",A6,Right hand side (RHS),12.9156954 77.6367255 810.7000122070312 4.639,12.9156954,77.6367255,810.7000122,4.639,2026/01/31 11:50:00+0530,,Retaining wall intact throughout the stretch,2,"Yes, covered only on sides",Reinforced Cement Concrete (RCC),1769840573525.jpg,,1769840593432.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,No,,,Cannot see,,,Cannot see,,,OK,660509344,1bed0831-11f1-457b-817d-ed9e8f2fafa7,31-01-2026 06:25,yes,,submitted_via_web,,vJPQqaxfJYoZcmbGG5DBqs,,uuid:1bed0831-11f1-457b-817d-ed9e8f2fafa7,K200,,Mod Foundation,South,Koramangala Challaghatta Valley
28,31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct the audit",A5,Left hand side (LHS),12.9152146 77.6444054 812.2000122070312 4.612,12.9152146,77.6444054,812.2000122,4.612,2026/01/31 10:51:00+0530,,Retaining wall intact throughout the stretch,4,"Yes, covered on sides and top",Reinforced Cement Concrete (RCC),1769837020696.jpg,,1769837068395.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,Yes,1769837170997.jpg,,No,,,Cannot see,,,OK,660519027,463f61ad-36e0-4e5d-a6a4-75e1381e1249,31-01-2026 06:44,yes,,submitted_via_web,,vJPQqaxfJYoZcmbGG5DBqs,,uuid:463f61ad-36e0-4e5d-a6a4-75e1381e1249,K200,,Mod Foundation,South,Koramangala Challaghatta Valley
29,31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct the audit",A5,Right hand side (RHS),12.9153353 77.643572 811.5 4.274,12.9153353,77.643572,811.5,4.274,2026/01/31 11:06:00+0530,,Retaining wall intact throughout the stretch,3,"Yes, covered only on sides",Reinforced Cement Concrete (RCC),1769837897982.jpg,,1769837936657.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,Yes,1769837987833.jpg,,Yes,1769838022984.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/660519057/attachments/atteFWbaXyg9mMpLaxJfCxPN/,No,,,OK,660519057,58dd792a-a7b4-4c2a-bf1c-bdc31341b007,31-01-2026 06:44,yes,,submitted_via_web,,vJPQqaxfJYoZcmbGG5DBqs,,uuid:58dd792a-a7b4-4c2a-bf1c-bdc31341b007,K200,,Mod Foundation,South,Koramangala Challaghatta Valley
30,31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct the audit",A5,Right hand side (RHS),12.9155319 77.6423875 810.3999633789062 4.016,12.9155319,77.6423875,810.3999634,4.016,2026/01/31 11:17:00+0530,,Retaining wall intact throughout the stretch,3,"Yes, covered only on sides",Reinforced Cement Concrete (RCC),1769838466722.jpg,,1769838475820.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,No,,,Cannot see,,,Cannot see,,,OK,660519099,6d2b2f60-b886-4b73-82b9-dc3143aa5f51,31-01-2026 06:44,yes,,submitted_via_web,,vJPQqaxfJYoZcmbGG5DBqs,,uuid:6d2b2f60-b886-4b73-82b9-dc3143aa5f51,K200,,Mod Foundation,South,Koramangala Challaghatta Valley
31,31-01-2026,31-01-2026,,,"No, I do not feel safe. I will stop the audit at this point.",A5,Left hand side (LHS),12.9156434 77.6397554 810.5 4.298,12.9156434,77.6397554,810.5,4.298,2026/01/31 11:45:00+0530,,Broken in some places,3,"Yes, covered on sides and top",Reinforced Cement Concrete (RCC),1769840203344.jpg,,1769840220196.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,No,1769840289873.jpg,,Yes,1769840303295.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/660519161/attachments/attxJv2sCQ2khnCQWpGqKC69/,Cannot see,,,OK,660519161,9d2aed18-7de6-4dec-9d0f-a8e206f3fbb3,31-01-2026 06:44,yes,,submitted_via_web,,vJPQqaxfJYoZcmbGG5DBqs,,uuid:9d2aed18-7de6-4dec-9d0f-a8e206f3fbb3,K200,,Mod Foundation,South,Koramangala Challaghatta Valley
32,31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct the audit",A5,Right hand side (RHS),12.9157283 77.6371801 810.7000122070312 4.752,12.9157283,77.6371801,810.7000122,4.752,2026/01/31 12:08:00+0530,,Retaining wall intact throughout the stretch,2,There is no fence ,Reinforced Cement Concrete (RCC),1769841548679.jpg,,1769841568170.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,No,,,No,,,No,,,OK,660519185,662e0aec-4f42-4d18-aa49-8dfa423342f1,31-01-2026 06:44,yes,,submitted_via_web,,vJPQqaxfJYoZcmbGG5DBqs,,uuid:662e0aec-4f42-4d18-aa49-8dfa423342f1,K200,,Mod Foundation,South,Koramangala Challaghatta Valley
33,31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct the audit",A5,Right hand side (RHS),12.9156088 77.6417376 811.2999877929688 3.859,12.9156088,77.6417376,811.2999878,3.859,2026/01/31 11:24:00+0530,,Retaining wall intact throughout the stretch,3.5,"Yes, covered only on sides",Reinforced Cement Concrete (RCC),1769838997923.jpg,,1769839058745.jpg,,,"Vehicular, I can see vehicles on the bridge",Intact;  path and fence not broken ,Safe to walk (clear path),1769839209192.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/660519326/attachments/attkaSQiqBxJbgJRPu2DBUyQ/,No,0,,,,No,,,No,,,No,,,OK,660519326,58a25046-e3ea-4d65-bc11-02fba47495ca,31-01-2026 06:44,yes,,submitted_via_web,,vJPQqaxfJYoZcmbGG5DBqs,,uuid:58a25046-e3ea-4d65-bc11-02fba47495ca,K200,,Mod Foundation,South,Koramangala Challaghatta Valley
34,31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct the audit",A5,Left hand side (LHS),12.9156251 77.6401961 811.0 4.073,12.9156251,77.6401961,811,4.073,2026/01/31 11:38:00+0530,,Retaining wall intact throughout the stretch,3.5,"Yes, covered only on sides",Reinforced Cement Concrete (RCC),1769839748008.jpg,,1769839783774.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,No,,,No,,,Cannot see,,,OK,660519447,22ea8835-e057-4538-b668-8404dc58bfb4,31-01-2026 06:45,yes,,submitted_via_web,,vJPQqaxfJYoZcmbGG5DBqs,,uuid:22ea8835-e057-4538-b668-8404dc58bfb4,K200,,Mod Foundation,South,Koramangala Challaghatta Valley
35,31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct the audit",A4,Right hand side (RHS),12.9159113 77.6354732 810.3999633789062 5.351,12.9159113,77.6354732,810.3999634,5.351,2026/01/31 11:57:00+0530,,Retaining wall intact throughout the stretch,3,There is no fence ,Reinforced Cement Concrete (RCC),1769840944368.jpg,,1769841022494.jpg,,,"Vehicular, I can see vehicles on the bridge",Intact;  path and fence not broken ,Obstructed path (parking),1769841069629.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/660525547/attachments/attaUoLWUf5Y4ax7nupx55jc/,Yes,1,1769841120442.jpg,,,No,,,No,,,Cannot see,,,OK,660525547,9f9f8e4b-795f-4a59-a3fa-44eb529c4dfd,31-01-2026 06:55,yes,,submitted_via_web,,vJPQqaxfJYoZcmbGG5DBqs,,uuid:9f9f8e4b-795f-4a59-a3fa-44eb529c4dfd,K200,,Mod Foundation,South,Koramangala Challaghatta Valley
36,31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct the audit",A4,Right hand side (RHS),12.915974 77.6343001 811.2000122070312 4.275,12.915974,77.6343001,811.2000122,4.275,2026/01/31 12:15:00+0530,,Retaining wall intact throughout the stretch,3,"Yes, covered only on sides",Reinforced Cement Concrete (RCC),1769842004082.jpg,,1769842037667.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,No,,,No,,,Cannot see,,,OK,660525646,a012a442-bd57-4d9f-958d-a2ad816eccb0,31-01-2026 06:55,yes,,submitted_via_web,,vJPQqaxfJYoZcmbGG5DBqs,,uuid:a012a442-bd57-4d9f-958d-a2ad816eccb0,K200,,Mod Foundation,South,Koramangala Challaghatta Valley
37,31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct the audit",A7,Right hand side (RHS),12.915353 77.6427595 810.5 4.824,12.915353,77.6427595,810.5,4.824,2026/01/31 11:18:00+0530,,Retaining wall intact throughout the stretch,3,"Yes, covered only on sides",Reinforced Cement Concrete (RCC),1769838613653.jpg,,1769838631181.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,No,,,No,,,No,,,OK,660530586,47811067-76b9-4fc0-99f6-87c0ca93dffe,31-01-2026 07:05,yes,,submitted_via_web,,vJPQqaxfJYoZcmbGG5DBqs,,uuid:47811067-76b9-4fc0-99f6-87c0ca93dffe,K200,,Mod Foundation,South,Koramangala Challaghatta Valley
38,31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct the audit",A4,Right hand side (RHS),12.9152264 77.644632 812.7999877929688 3.957,12.9152264,77.644632,812.7999878,3.957,2026/01/31 10:53:00+0530,,Retaining wall intact throughout the stretch,4,"Yes, covered only on sides",Reinforced Cement Concrete (RCC),1769837141962.jpg,,1769837167905.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,Yes,1769837317209.jpg,,No,,,No,,,OK,660530689,a91f8173-83da-4c3c-87f8-f03371e8f3cb,31-01-2026 07:05,yes,,submitted_via_web,,vJPQqaxfJYoZcmbGG5DBqs,,uuid:a91f8173-83da-4c3c-87f8-f03371e8f3cb,K200,,Mod Foundation,South,Koramangala Challaghatta Valley
39,31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct the audit",A7,Left hand side (LHS),12.9157687 77.6380299 810.7999877929688 4.502,12.9157687,77.6380299,810.7999878,4.502,2026/01/31 12:07:00+0530,,Retaining wall intact throughout the stretch,2.5,There is no fence ,Reinforced Cement Concrete (RCC),1769841545408.jpg,,1769841565139.jpg,,,"Vehicular, I can see vehicles on the bridge",Intact;  path and fence not broken ,Safe to walk (clear path),1769841606233.jpg,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/660531105/attachments/attGAgX2spU6aSYhHhZwCaQq/,Yes,2,1769841629292.jpg,,,No,,,No,,,No,,,OK,660531105,5fb8cee4-be7a-4c10-ba8d-f3d762367488,31-01-2026 07:05,yes,,submitted_via_web,,vJPQqaxfJYoZcmbGG5DBqs,,uuid:5fb8cee4-be7a-4c10-ba8d-f3d762367488,K200,,Mod Foundation,South,Koramangala Challaghatta Valley
40,31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct the audit",A4,Right hand side (RHS),12.9154656 77.643004 810.5999755859375 3.7,12.9154656,77.643004,810.5999756,3.7,2026/01/31 11:19:00+0530,,Retaining wall intact throughout the stretch,3,"Yes, covered only on sides",Reinforced Cement Concrete (RCC),1769838638360.jpg,,1769838648952.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,No,,,No,,,No,,,OK,660597726,27f8f143-2da4-4206-b91f-f22334a709aa,31-01-2026 08:57,yes,,submitted_via_web,,vJPQqaxfJYoZcmbGG5DBqs,,uuid:27f8f143-2da4-4206-b91f-f22334a709aa,K200,,Mod Foundation,South,Koramangala Challaghatta Valley
41,31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct the audit",A4,Left hand side (LHS),12.9155564 77.6407582 813.3999633789062 8.25,12.9155564,77.6407582,813.3999634,8.25,2026/01/31 11:37:00+0530,,Retaining wall intact throughout the stretch,3,"Yes, covered only on sides",Reinforced Cement Concrete (RCC),1769839697017.jpg,,1769839706027.jpg,,,Not applicable ,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,No,,,No,,,No,,,OK,660597908,65917931-9a0b-4570-8776-9f04ec3dc7a8,31-01-2026 08:57,yes,,submitted_via_web,,vJPQqaxfJYoZcmbGG5DBqs,,uuid:65917931-9a0b-4570-8776-9f04ec3dc7a8,K200,,Mod Foundation,South,Koramangala Challaghatta Valley
